sample,block_index,cell_id,family,n,dtype_name,method,common_n,finite_r2_n,finite_rinf_n,r2u_q50,r2u_q95,rinfu_q50,rinfu_q95
S5,2,random_conditioned:5e2483f030292e83,random_conditioned,8,float32,R0_C1,2000,2000,2000,0.7322709511134076,1.2295388319802547,0.34217942549749436,0.6049166511355651
S6,2,random_conditioned:5e2483f030292e83,random_conditioned,8,float32,R0_C1,2000,2000,2000,0.7322709511134076,1.2295388319802547,0.34217942549749436,0.6049166511355651
S5,2,random_conditioned:5e2483f030292e83,random_conditioned,8,float32,R0_C2,2000,2000,2000,0.7008193839772163,1.1627982535232042,0.3318741508333342,0.5860246644959142
S6,2,random_conditioned:5e2483f030292e83,random_conditioned,8,float32,R0_C2,2000,2000,2000,0.7008193839772163,1.1627982535232042,0.3318741508333342,0.5860246644959142
S5,2,random_conditioned:5e2483f030292e83,random_conditioned,8,float32,R1_C1,2000,2000,2000,0.685707030096671,1.081043488693808,0.3327948155046874,0.562583353465058
S6,2,random_conditioned:5e2483f030292e83,random_conditioned,8,float32,R1_C1,2000,2000,2000,0.685707030096671,1.081043488693808,0.3327948155046874,0.562583353465058
S5,2,random_conditioned:5e2483f030292e83,random_conditioned,8,float32,R2_C2,2000,2000,2000,0.6241130322656456,0.9780716020663706,0.29406524514928745,0.5175414103620032
S6,2,random_conditioned:5e2483f030292e83,random_conditioned,8,float32,R2_C2,2000,2000,2000,0.6241130322656456,0.9780716020663706,0.29406524514928745,0.5175414103620032
S6,2,random_conditioned:5e2483f030292e83,random_conditioned,8,float32,LAPACK_xGETRF_xGETRI,2000,2000,2000,1.1041603572517062,2.2227335750087134,0.4743683795888102,0.9752744636241727
S5,2,random_conditioned:5e2483f030292e83,random_conditioned,8,float64,R0_C0,2000,2000,2000,3.0079215411721627,43.76926353539133,1.3951074127099299,19.336265340605458
S6,2,random_conditioned:5e2483f030292e83,random_conditioned,8,float64,R0_C0,2000,2000,2000,3.0079215411721627,43.76926353539133,1.3951074127099299,19.336265340605458
S5,2,random_conditioned:5e2483f030292e83,random_conditioned,8,float64,R0_C1,2000,2000,2000,0.7917663589688148,1.2855686235120631,0.37509141383638045,0.6499685131844701
S6,2,random_conditioned:5e2483f030292e83,random_conditioned,8,float64,R0_C1,2000,2000,2000,0.7917663589688148,1.2855686235120631,0.37509141383638045,0.6499685131844701
S5,2,random_conditioned:5e2483f030292e83,random_conditioned,8,float64,R0_C2,2000,2000,2000,0.7720381995049648,1.2474996766324187,0.3722511500900403,0.644421139574602
S6,2,random_conditioned:5e2483f030292e83,random_conditioned,8,float64,R0_C2,2000,2000,2000,0.7720381995049648,1.2474996766324187,0.3722511500900403,0.644421139574602
S5,2,random_conditioned:5e2483f030292e83,random_conditioned,8,float64,R1_C1,2000,2000,2000,0.7480588897485729,1.1622475207425238,0.36989111518927226,0.5978035611034931
S6,2,random_conditioned:5e2483f030292e83,random_conditioned,8,float64,R1_C1,2000,2000,2000,0.7480588897485729,1.1622475207425238,0.36989111518927226,0.5978035611034931
S5,2,random_conditioned:5e2483f030292e83,random_conditioned,8,float64,R2_C2,2000,2000,2000,0.7079987334319435,1.1007437001465548,0.34158387788554245,0.5768695526281175
S6,2,random_conditioned:5e2483f030292e83,random_conditioned,8,float64,R2_C2,2000,2000,2000,0.7079987334319435,1.1007437001465548,0.34158387788554245,0.5768695526281175
S6,2,random_conditioned:5e2483f030292e83,random_conditioned,8,float64,LAPACK_xGETRF_xGETRI,2000,2000,2000,1.1249040823424998,2.3312349914912818,0.4977365496007793,1.025989762513087
S5,3,random_conditioned:59554964dd17fd28,random_conditioned,8,float32,R0_C0,2000,2000,2000,0.8950972167035871,13.178302495562974,0.6553494015483632,9.532688794363331
S6,3,random_conditioned:59554964dd17fd28,random_conditioned,8,float32,R0_C0,2000,2000,2000,0.8950972167035871,13.178302495562974,0.6553494015483632,9.532688794363331
S5,3,random_conditioned:59554964dd17fd28,random_conditioned,8,float32,R0_C1,2000,2000,2000,0.29100484317129993,0.6095021529760788,0.20592685647115475,0.47420486745660273
S6,3,random_conditioned:59554964dd17fd28,random_conditioned,8,float32,R0_C1,2000,2000,2000,0.29100484317129993,0.6095021529760788,0.20592685647115475,0.47420486745660273
S5,3,random_conditioned:59554964dd17fd28,random_conditioned,8,float32,R0_C2,2000,2000,2000,0.2824966137081863,0.590969474825018,0.20024657374427451,0.461538360382691
S6,3,random_conditioned:59554964dd17fd28,random_conditioned,8,float32,R0_C2,2000,2000,2000,0.2824966137081863,0.590969474825018,0.20024657374427451,0.461538360382691
S5,3,random_conditioned:59554964dd17fd28,random_conditioned,8,float32,R1_C1,2000,2000,2000,0.2887261614097693,0.6208571241730277,0.20935663555175485,0.4956411369578447
S6,3,random_conditioned:59554964dd17fd28,random_conditioned,8,float32,R1_C1,2000,2000,2000,0.2887261614097693,0.6208571241730277,0.20935663555175485,0.4956411369578447
S5,3,random_conditioned:59554964dd17fd28,random_conditioned,8,float32,R2_C2,2000,2000,2000,0.2676510158685365,0.5170781676845114,0.1891891387175323,0.41843127855921575
S6,3,random_conditioned:59554964dd17fd28,random_conditioned,8,float32,R2_C2,2000,2000,2000,0.2676510158685365,0.5170781676845114,0.1891891387175323,0.41843127855921575
S6,3,random_conditioned:59554964dd17fd28,random_conditioned,8,float32,LAPACK_xGETRF_xGETRI,2000,2000,2000,0.5017136502456017,1.5087044371323712,0.3365281003018123,1.0447461714932882
S5,3,random_conditioned:59554964dd17fd28,random_conditioned,8,float64,R0_C0,2000,2000,2000,0.912644745416878,11.766940010984385,0.6945587939936858,9.14472609874017
S6,3,random_conditioned:59554964dd17fd28,random_conditioned,8,float64,R0_C0,2000,2000,2000,0.912644745416878,11.766940010984385,0.6945587939936858,9.14472609874017
S5,3,random_conditioned:59554964dd17fd28,random_conditioned,8,float64,R0_C1,2000,2000,2000,0.3315202533737043,0.6347461924862838,0.23899362379152936,0.49323549495582114
S6,3,random_conditioned:59554964dd17fd28,random_conditioned,8,float64,R0_C1,2000,2000,2000,0.3315202533737043,0.6347461924862838,0.23899362379152936,0.49323549495582114
S5,3,random_conditioned:59554964dd17fd28,random_conditioned,8,float64,R0_C2,2000,2000,2000,0.3255249404662872,0.6164153838462588,0.2329266611900286,0.47011272359541334
S6,3,random_conditioned:59554964dd17fd28,random_conditioned,8,float64,R0_C2,2000,2000,2000,0.3255249404662872,0.6164153838462588,0.2329266611900286,0.47011272359541334
S5,3,random_conditioned:59554964dd17fd28,random_conditioned,8,float64,R1_C1,2000,2000,2000,0.3295704081920896,0.653579202609886,0.24243996588273387,0.5138329229083696
S6,3,random_conditioned:59554964dd17fd28,random_conditioned,8,float64,R1_C1,2000,2000,2000,0.3295704081920896,0.653579202609886,0.24243996588273387,0.5138329229083696
S5,3,random_conditioned:59554964dd17fd28,random_conditioned,8,float64,R2_C2,2000,2000,2000,0.2986278174902701,0.5650143298684053,0.21652206125420567,0.46099523463101555
S6,3,random_conditioned:59554964dd17fd28,random_conditioned,8,float64,R2_C2,2000,2000,2000,0.2986278174902701,0.5650143298684053,0.21652206125420567,0.46099523463101555
S6,3,random_conditioned:59554964dd17fd28,random_conditioned,8,float64,LAPACK_xGETRF_xGETRI,2000,2000,2000,0.5220965309580756,1.47788983487198,0.36189275096247103,1.0289106896546687
S5,4,random_conditioned:9249e93b9b37b741,random_conditioned,8,float32,R0_C0,2000,2000,2000,3.035002680922445,36.12475428442882,1.4080397946280974,19.718472062727017
S6,4,random_conditioned:9249e93b9b37b741,random_conditioned,8,float32,R0_C0,2000,2000,2000,3.035002680922445,36.12475428442882,1.4080397946280974,19.718472062727017
S5,4,random_conditioned:9249e93b9b37b741,random_conditioned,8,float32,R0_C1,2000,2000,2000,0.9194132817216025,1.6109373137448206,0.3788940082000074,0.7869111957830207
