cell_id,family,method,dtype_name,s,ci_low,ci_high,bootstrap_bias,quadratic_curvature,curvature_sign,delta_aic_quadratic_minus_power,quadratic_preferred
row_diagonal_dominant_random:4cbd4f5958f010f8,row_diagonal_dominant_random,R2_C2,float64,0.6576712546189651,0.6523185851402342,0.6616155976337567,-0.0006045498705218311,-0.023855267274995543,concave,-21.986921036218448,True
row_diagonal_dominant_random:85f3946f6e4679ec,row_diagonal_dominant_random,R0_C0,float32,0.550941716148392,0.5475566925413686,0.5542696835055005,7.204077113787122e-05,0.006049700603272475,convex,-4.1466968042421115,True
row_diagonal_dominant_random:85f3946f6e4679ec,row_diagonal_dominant_random,R0_C0,float64,0.5764056286071191,0.5721626073664106,0.580742084019821,0.00010784061708013493,-0.006358210981009547,concave,0.4423705482295901,False
row_diagonal_dominant_random:85f3946f6e4679ec,row_diagonal_dominant_random,R0_C1,float32,0.550941716148392,0.5475566925413686,0.5542696835055005,7.204077113787122e-05,0.006049700603272475,convex,-4.1466968042421115,True
row_diagonal_dominant_random:85f3946f6e4679ec,row_diagonal_dominant_random,R0_C1,float64,0.5764056286071191,0.5721626073664106,0.580742084019821,0.00010784061708013493,-0.006358210981009547,concave,0.4423705482295901,False
row_diagonal_dominant_random:85f3946f6e4679ec,row_diagonal_dominant_random,R0_C2,float32,0.550941716148392,0.5475566925413686,0.5542696835055005,7.204077113787122e-05,0.006049700603272475,convex,-4.1466968042421115,True
row_diagonal_dominant_random:85f3946f6e4679ec,row_diagonal_dominant_random,R0_C2,float64,0.5764056286071191,0.5721626073664106,0.580742084019821,0.00010784061708013493,-0.006358210981009547,concave,0.4423705482295901,False
row_diagonal_dominant_random:85f3946f6e4679ec,row_diagonal_dominant_random,R1_C1,float32,0.6170807881773821,0.6121348534893924,0.6225005737309338,0.00022594976762335683,-0.02321569441655308,concave,-14.874240252177742,True
row_diagonal_dominant_random:85f3946f6e4679ec,row_diagonal_dominant_random,R1_C1,float64,0.623794354822888,0.6194131592095273,0.6282406678391923,8.274174044409222e-05,-0.01792314454141862,concave,-22.11467941683179,True
row_diagonal_dominant_random:85f3946f6e4679ec,row_diagonal_dominant_random,R2_C2,float32,0.6068097548284522,0.6011505131870178,0.6124147167475216,1.0554489171310522e-05,-0.021196314802259145,concave,-11.856459418548468,True
row_diagonal_dominant_random:85f3946f6e4679ec,row_diagonal_dominant_random,R2_C2,float64,0.6144908868521705,0.6096629651263966,0.618587347242571,-0.00021905767625096662,-0.014293420296329205,concave,-13.54818504633144,True
row_diagonal_dominant_random:8a85d76f30eb75a6,row_diagonal_dominant_random,R0_C0,float32,0.4964425476706499,0.49325171021222913,0.500607090159452,0.0003887784050684018,0.03248561632177248,convex,-18.001707911460826,True
row_diagonal_dominant_random:8a85d76f30eb75a6,row_diagonal_dominant_random,R0_C0,float64,0.5610500159045771,0.5570375384265519,0.5653890948663841,6.27690988070917e-05,0.004555611571037848,convex,1.3681464581575113,False
row_diagonal_dominant_random:8a85d76f30eb75a6,row_diagonal_dominant_random,R0_C1,float32,0.4964425476706499,0.49325171021222913,0.500607090159452,0.0003887784050684018,0.03248561632177248,convex,-18.001707911460826,True
row_diagonal_dominant_random:8a85d76f30eb75a6,row_diagonal_dominant_random,R0_C1,float64,0.5610500159045771,0.5570375384265519,0.5653890948663841,6.27690988070917e-05,0.004555611571037848,convex,1.3681464581575113,False
row_diagonal_dominant_random:8a85d76f30eb75a6,row_diagonal_dominant_random,R0_C2,float32,0.4964425476706499,0.49325171021222913,0.500607090159452,0.0003887784050684018,0.03248561632177248,convex,-18.001707911460826,True
row_diagonal_dominant_random:8a85d76f30eb75a6,row_diagonal_dominant_random,R0_C2,float64,0.5610500159045771,0.5570375384265519,0.5653890948663841,6.27690988070917e-05,0.004555611571037848,convex,1.3681464581575113,False
row_diagonal_dominant_random:8a85d76f30eb75a6,row_diagonal_dominant_random,R1_C1,float32,0.6443786794082266,0.6401031415031686,0.6499307914461201,0.0006723149673832918,-0.03824428536599578,concave,-25.129275905327418,True
row_diagonal_dominant_random:8a85d76f30eb75a6,row_diagonal_dominant_random,R1_C1,float64,0.6484849736075247,0.6437050064252235,0.6532790597235147,2.7121462059631618e-05,-0.020936866703874568,concave,-18.21255062283423,True
row_diagonal_dominant_random:8a85d76f30eb75a6,row_diagonal_dominant_random,R2_C2,float32,0.6313236315717947,0.6267528860211985,0.6360847918229547,0.00012542174274654538,-0.03241007207070857,concave,-19.664586953371128,True
row_diagonal_dominant_random:8a85d76f30eb75a6,row_diagonal_dominant_random,R2_C2,float64,0.6340257705673271,0.6289040525085232,0.6377848875097651,-0.0003649582796512174,-0.023876723601656085,concave,-45.64933322658037,True
row_diagonal_dominant_random:93e6f52ebdb3ac55,row_diagonal_dominant_random,R0_C0,float32,0.5850471715091904,0.5800690291416258,0.5881023874440443,-0.0007817367554636689,-0.005699455606506274,concave,-5.19983742812245,True
row_diagonal_dominant_random:93e6f52ebdb3ac55,row_diagonal_dominant_random,R0_C0,float64,0.5898227038722395,0.5847234132436913,0.5922124027792665,-0.0008778797815086614,-0.010750637272990745,concave,-2.1918133494227305,True
row_diagonal_dominant_random:93e6f52ebdb3ac55,row_diagonal_dominant_random,R0_C1,float32,0.5850471715091904,0.5800690291416258,0.5881023874440443,-0.0007817367554636689,-0.005699455606506274,concave,-5.19983742812245,True
row_diagonal_dominant_random:93e6f52ebdb3ac55,row_diagonal_dominant_random,R0_C1,float64,0.5898227038722395,0.5847234132436913,0.5922124027792665,-0.0008778797815086614,-0.010750637272990745,concave,-2.1918133494227305,True
row_diagonal_dominant_random:93e6f52ebdb3ac55,row_diagonal_dominant_random,R0_C2,float32,0.5850471715091904,0.5800690291416258,0.5881023874440443,-0.0007817367554636689,-0.005699455606506274,concave,-5.19983742812245,True
row_diagonal_dominant_random:93e6f52ebdb3ac55,row_diagonal_dominant_random,R0_C2,float64,0.5898227038722395,0.5847234132436913,0.5922124027792665,-0.0008778797815086614,-0.010750637272990745,concave,-2.1918133494227305,True
row_diagonal_dominant_random:93e6f52ebdb3ac55,row_diagonal_dominant_random,R1_C1,float32,0.5819838287851531,0.5788865978535499,0.5857680182433697,0.00031706126508501686,-0.011719403633849162,concave,-26.172956253503727,True
row_diagonal_dominant_random:93e6f52ebdb3ac55,row_diagonal_dominant_random,R1_C1,float64,0.5908888699414048,0.5876249838455809,0.5941508739394441,0.00023498492835916096,-0.011166063136341218,concave,-6.982050971366334,True
row_diagonal_dominant_random:93e6f52ebdb3ac55,row_diagonal_dominant_random,R2_C2,float32,0.5813133823000348,0.5779642765168231,0.5854885196926783,0.00027761034947915153,-0.01003950250517118,concave,-16.849895607097437,True
row_diagonal_dominant_random:93e6f52ebdb3ac55,row_diagonal_dominant_random,R2_C2,float64,0.5836377412494629,0.5774393036457369,0.5887465453611466,-4.0712725083102974e-05,-0.010859859331098481,concave,-2.8682151976982624,True
row_diagonal_dominant_random:9493eb0855127051,row_diagonal_dominant_random,R0_C0,float32,0.4577269694722874,0.4541285713608502,0.461315762785585,-2.5892466122834357e-05,-0.025579979926394502,concave,-2.3621182851800455,True
row_diagonal_dominant_random:9493eb0855127051,row_diagonal_dominant_random,R0_C0,float64,0.545399336556818,0.5412777016543174,0.5494127965037425,4.6055010424761456e-05,-0.016415043147502587,concave,-8.26282163766669,True
row_diagonal_dominant_random:9493eb0855127051,row_diagonal_dominant_random,R0_C1,float32,0.4577269694722874,0.4541285713608502,0.461315762785585,-2.5892466122834357e-05,-0.025579979926394502,concave,-2.3621182851800455,True
row_diagonal_dominant_random:9493eb0855127051,row_diagonal_dominant_random,R0_C1,float64,0.545399336556818,0.5412777016543174,0.5494127965037425,4.6055010424761456e-05,-0.016415043147502587,concave,-8.26282163766669,True
row_diagonal_dominant_random:9493eb0855127051,row_diagonal_dominant_random,R0_C2,float32,0.4577269694722874,0.4541285713608502,0.461315762785585,-2.5892466122834357e-05,-0.025579979926394502,concave,-2.3621182851800455,True
row_diagonal_dominant_random:9493eb0855127051,row_diagonal_dominant_random,R0_C2,float64,0.545399336556818,0.5412777016543174,0.5494127965037425,4.6055010424761456e-05,-0.016415043147502587,concave,-8.26282163766669,True
row_diagonal_dominant_random:9493eb0855127051,row_diagonal_dominant_random,R1_C1,float32,0.6820946946353383,0.6770404141463721,0.6870737121279032,-2.6797112913645726e-05,-0.024544923142176614,concave,-5.582338862908728,True
row_diagonal_dominant_random:9493eb0855127051,row_diagonal_dominant_random,R1_C1,float64,0.6724244906387719,0.667184551423688,0.6764575570946829,-0.0005697168433292932,-0.01410363020117674,concave,-4.185926184024808,True
row_diagonal_dominant_random:9493eb0855127051,row_diagonal_dominant_random,R2_C2,float32,0.6688878442189583,0.6635125246569881,0.6738068837016544,-0.00014157851043716807,-0.021301181336539843,concave,-4.735261454378815,True
row_diagonal_dominant_random:9493eb0855127051,row_diagonal_dominant_random,R2_C2,float64,0.6594299457061591,0.6557795558295416,0.6637977105673141,0.00031684324614045245,-0.011541841900182967,concave,-6.076165476754511,True
row_diagonal_dominant_random:c6616c01f005a03d,row_diagonal_dominant_random,R0_C0,float32,0.5678013986001531,0.5634455551616075,0.5719286059296141,-0.0001092048614947938,0.0006908229671562441,convex,1.811538425182647,False
row_diagonal_dominant_random:c6616c01f005a03d,row_diagonal_dominant_random,R0_C0,float64,0.5829113217954065,0.5781542539410561,0.586938001928429,-0.00030999165560285924,-0.012438603232185144,concave,-4.138489745130272,True
row_diagonal_dominant_random:c6616c01f005a03d,row_diagonal_dominant_random,R0_C1,float32,0.5678013986001531,0.5634455551616075,0.5719286059296141,-0.0001092048614947938,0.0006908229671562441,convex,1.811538425182647,False
row_diagonal_dominant_random:c6616c01f005a03d,row_diagonal_dominant_random,R0_C1,float64,0.5829113217954065,0.5781542539410561,0.586938001928429,-0.00030999165560285924,-0.012438603232185144,concave,-4.138489745130272,True
row_diagonal_dominant_random:c6616c01f005a03d,row_diagonal_dominant_random,R0_C2,float32,0.5678013986001531,0.5634455551616075,0.5719286059296141,-0.0001092048614947938,0.0006908229671562441,convex,1.811538425182647,False
row_diagonal_dominant_random:c6616c01f005a03d,row_diagonal_dominant_random,R0_C2,float64,0.5829113217954065,0.5781542539410561,0.586938001928429,-0.00030999165560285924,-0.012438603232185144,concave,-4.138489745130272,True
row_diagonal_dominant_random:c6616c01f005a03d,row_diagonal_dominant_random,R1_C1,float32,0.6098375893537142,0.6046381111810415,0.6150270131642255,-1.1394712471357593e-06,-0.019705179290446115,concave,-11.021503468249705,True
row_diagonal_dominant_random:c6616c01f005a03d,row_diagonal_dominant_random,R1_C1,float64,0.6094644870525044,0.6049396729701677,0.6131135012791757,-0.00037142736246276176,-0.013993108453824942,concave,-6.873671879020691,True
row_diagonal_dominant_random:c6616c01f005a03d,row_diagonal_dominant_random,R2_C2,float32,0.598445166105316,0.5930762535273851,0.6027446220803934,-0.00039840912263666706,-0.01767627884793142,concave,-9.238211957881305,True
row_diagonal_dominant_random:c6616c01f005a03d,row_diagonal_dominant_random,R2_C2,float64,0.605068047705517,0.6004269059722359,0.6095937476305003,-7.471954048310359e-05,-0.011603024175839076,concave,-7.051304922839549,True
row_diagonal_dominant_random:c93186b88112adec,row_diagonal_dominant_random,R0_C0,float32,0.4705907253116011,0.46683195690682705,0.4739814645041307,-5.359760120449142e-06,-0.04921584617495768,concave,-14.65038278465201,True
row_diagonal_dominant_random:c93186b88112adec,row_diagonal_dominant_random,R0_C0,float64,0.5415636958939634,0.5374426713026348,0.5461213707603185,0.0001127636524318465,-0.023692706674184515,concave,-19.84262166032859,True
row_diagonal_dominant_random:c93186b88112adec,row_diagonal_dominant_random,R0_C1,float32,0.4705907253116011,0.46683195690682705,0.4739814645041307,-5.359760120449142e-06,-0.04921584617495768,concave,-14.65038278465201,True
row_diagonal_dominant_random:c93186b88112adec,row_diagonal_dominant_random,R0_C1,float64,0.5415636958939634,0.5374426713026348,0.5461213707603185,0.0001127636524318465,-0.023692706674184515,concave,-19.84262166032859,True
row_diagonal_dominant_random:c93186b88112adec,row_diagonal_dominant_random,R0_C2,float32,0.4705907253116011,0.46683195690682705,0.4739814645041307,-5.359760120449142e-06,-0.04921584617495768,concave,-14.65038278465201,True
row_diagonal_dominant_random:c93186b88112adec,row_diagonal_dominant_random,R0_C2,float64,0.5415636958939634,0.5374426713026348,0.5461213707603185,0.0001127636524318465,-0.023692706674184515,concave,-19.84262166032859,True
row_diagonal_dominant_random:c93186b88112adec,row_diagonal_dominant_random,R1_C1,float32,0.6873885002425395,0.6829099627947013,0.6919096131320176,0.0001823896053815277,-0.015243036591486426,concave,-1.3364093043168879,True
row_diagonal_dominant_random:c93186b88112adec,row_diagonal_dominant_random,R1_C1,float64,0.6671639858633645,0.6630575206973623,0.6713980996914757,7.354393473613108e-05,-0.0028531425301953003,concave,1.6452057288252036,False
row_diagonal_dominant_random:c93186b88112adec,row_diagonal_dominant_random,R2_C2,float32,0.6618294889765761,0.656478216649274,0.6665183717620168,-0.0002972178140697723,-0.019053659916982504,concave,-4.4103132698559335,True
row_diagonal_dominant_random:c93186b88112adec,row_diagonal_dominant_random,R2_C2,float64,0.6544214052848669,0.6497310304488391,0.6594287645214297,0.0002474739668604231,-0.0019149096995957648,concave,1.762746736616819,False
row_diagonal_dominant_stochastic:021519ee0a19df7c,row_diagonal_dominant_stochastic,R0_C0,float32,0.5728115844602129,0.5691156385115197,0.57726709311126,0.00034607395163821497,-0.0006812309165405994,concave,1.4495012472830524,False
row_diagonal_dominant_stochastic:021519ee0a19df7c,row_diagonal_dominant_stochastic,R0_C0,float64,0.570356816071565,0.564424668613212,0.5780844213322495,0.00043465429320721505,-0.0032762870083819836,concave,1.6341385840538294,False
row_diagonal_dominant_stochastic:021519ee0a19df7c,row_diagonal_dominant_stochastic,R0_C1,float32,0.5728115844602129,0.5691156385115197,0.57726709311126,0.00034607395163821497,-0.0006812309165405994,concave,1.4495012472830524,False
row_diagonal_dominant_stochastic:021519ee0a19df7c,row_diagonal_dominant_stochastic,R0_C1,float64,0.570356816071565,0.564424668613212,0.5780844213322495,0.00043465429320721505,-0.0032762870083819836,concave,1.6341385840538294,False
row_diagonal_dominant_stochastic:021519ee0a19df7c,row_diagonal_dominant_stochastic,R0_C2,float32,0.5728115844602129,0.5691156385115197,0.57726709311126,0.00034607395163821497,-0.0006812309165405994,concave,1.4495012472830524,False
row_diagonal_dominant_stochastic:021519ee0a19df7c,row_diagonal_dominant_stochastic,R0_C2,float64,0.570356816071565,0.564424668613212,0.5780844213322495,0.00043465429320721505,-0.0032762870083819836,concave,1.6341385840538294,False
