method,dtype_name,metric,low_progress_tasks,high_progress_tasks,low_mean,high_mean,high_minus_low,standardized_difference,progress_q25,progress_q75
R0_C2,float64,failure_rate,250,250,0.0,0.0,0.0,0.0,13327497.0,16067447.0
R0_C2,float64,mean_log10_rRu,250,250,-2.07021964041189,-2.059847151052773,0.010372489359117054,0.32651980588378204,13327497.0,16067447.0
R0_C2,float64,mean_log10_gamma_over_n,250,250,6.166467882858453,6.163306690276958,-0.0031611925814951647,-0.2206565561060352,13327497.0,16067447.0
R0_C2,float64,mean_log10_max_tableau,250,250,7.440966961985474,7.438250506833996,-0.0027164551514777813,-0.1855932088397094,13327497.0,16067447.0
R0_C2,float64,mean_elapsed_seconds,250,250,0.27659228500670807,0.2630935310683732,-0.013498753938334884,-0.4236011196414489,13327497.0,16067447.0
R1_C1,float64,failure_rate,250,250,0.0,0.0,0.0,0.0,13327497.0,16067447.0
R1_C1,float64,mean_log10_rRu,250,250,-2.9697557521264852,-2.9611452999455716,0.008610452180913608,0.546675505989708,13327497.0,16067447.0
R1_C1,float64,mean_log10_gamma_over_n,250,250,5.852180061113031,5.849145772278394,-0.0030342888346366337,-0.18297191759014955,13327497.0,16067447.0
R1_C1,float64,mean_log10_max_tableau,250,250,7.461448907614942,7.458342306441674,-0.0031066011732683307,-0.17481817386184914,13327497.0,16067447.0
R1_C1,float64,mean_elapsed_seconds,250,250,0.3053659867620523,0.293534195942647,-0.011831790819405275,-0.34767434479128273,13327497.0,16067447.0
R2_C2,float64,failure_rate,250,250,0.0,0.0,0.0,0.0,13327497.0,16067447.0
R2_C2,float64,mean_log10_rRu,250,250,-2.7666008754615934,-2.7581727308456156,0.00842814461597774,0.2798236366695289,13327497.0,16067447.0
R2_C2,float64,mean_log10_gamma_over_n,250,250,6.120749799133749,6.116553646628944,-0.004196152504805539,-0.2265318411259777,13327497.0,16067447.0
R2_C2,float64,mean_log10_max_tableau,250,250,7.511612954729671,7.508470191272243,-0.0031427634574274776,-0.16129045337439932,13327497.0,16067447.0
R2_C2,float64,mean_elapsed_seconds,250,250,0.34633087931194995,0.3345513358104288,-0.011779543501521161,-0.31595757545154807,13327497.0,16067447.0
